frame_time,MAX Blue,MAX Green,MAX Orange,MAX Red,MAX Yellow,Streetcar NS,Streetcar A,Streetcar B,Commuter Rail,Bus,smooth_MAX Blue,smooth_MAX Green,smooth_MAX Orange,smooth_MAX Red,smooth_MAX Yellow,smooth_Streetcar NS,smooth_Streetcar A,smooth_Streetcar B,smooth_Commuter Rail,smooth_Bus
2025-09-10 07:12:30,13.0,7.0,5.0,8.0,3.0,4.0,3.0,2.0,2.0,272.0,14.116666666666667,6.716666666666667,3.6166666666666667,8.116666666666667,3.8666666666666667,4.616666666666666,2.816666666666667,2.75,2.0,270.5833333333333
2025-09-10 07:12:40,13.0,8.0,5.0,8.0,3.0,4.0,3.0,2.0,2.0,272.0,14.133333333333333,6.733333333333333,3.6333333333333333,8.1,3.8666666666666667,4.616666666666666,2.816666666666667,2.7333333333333334,2.0,270.6333333333333
2025-09-10 07:12:50,13.0,8.0,5.0,8.0,3.0,4.0,3.0,2.0,2.0,273.0,14.15,6.75,3.65,8.083333333333334,3.8666666666666667,4.616666666666666,2.816666666666667,2.716666666666667,2.0,270.71666666666664
2025-09-10 07:13:00,13.0,8.0,5.0,9.0,3.0,4.0,3.0,3.0,2.0,276.0,14.166666666666666,6.766666666666667,3.6666666666666665,8.083333333333334,3.8666666666666667,4.6,2.816666666666667,2.716666666666667,2.0,270.76666666666665
2025-09-10 07:13:10,13.0,8.0,5.0,9.0,3.0,4.0,3.0,3.0,1.0,269.0,14.166666666666666,6.783333333333333,3.683333333333333,8.083333333333334,3.8666666666666667,4.583333333333333,2.816666666666667,2.716666666666667,1.9833333333333334,270.85
2025-09-10 07:13:20,13.0,8.0,5.0,10.0,3.0,4.0,3.0,3.0,1.0,269.0,14.166666666666666,6.8,3.7,8.1,3.8666666666666667,4.566666666666666,2.816666666666667,2.716666666666667,1.9666666666666666,270.93333333333334
2025-09-10 07:13:30,13.0,8.0,5.0,10.0,3.0,4.0,3.0,3.0,1.0,269.0,14.166666666666666,6.816666666666666,3.716666666666667,8.116666666666667,3.8666666666666667,4.55,2.816666666666667,2.716666666666667,1.95,271.01666666666665
2025-09-10 07:13:40,12.0,8.0,5.0,10.0,3.0,4.0,3.0,3.0,1.0,269.0,14.15,6.833333333333333,3.7333333333333334,8.133333333333333,3.8666666666666667,4.533333333333333,2.816666666666667,2.716666666666667,1.9333333333333333,271.1
2025-09-10 07:13:50,12.0,8.0,5.0,10.0,3.0,4.0,3.0,3.0,1.0,269.0,14.133333333333333,6.85,3.75,8.15,3.8666666666666667,4.516666666666667,2.816666666666667,2.716666666666667,1.9166666666666667,271.18333333333334
2025-09-10 07:14:00,11.0,8.0,5.0,10.0,3.0,4.0,3.0,3.0,1.0,273.0,14.1,6.866666666666666,3.783333333333333,8.166666666666666,3.8666666666666667,4.5,2.816666666666667,2.716666666666667,1.9,271.25
