shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
47,7,47.593510,-122.556564
47,8,47.594551,-122.551933
47,9,47.594437,-122.549530
47,10,47.593044,-122.546608
47,11,47.588879,-122.543610
47,12,47.582626,-122.541031
47,13,47.574173,-122.537514
47,14,47.569134,-122.531075
47,15,47.563747,-122.514511
47,16,47.561199,-122.500435
47,17,47.561028,-122.495369
47,18,47.562359,-122.489189
47,19,47.567455,-122.473656
47,20,47.571045,-122.464645
47,21,47.574867,-122.457779
47,22,47.600510,-122.416092
47,23,47.604389,-122.408348
47,24,47.605358,-122.406784
47,25,47.606731,-122.402122
47,26,47.607746,-122.395172
47,27,47.607731,-122.389122
47,28,47.602409,-122.339745
47,29,47.602990,-122.337955
514,0,47.975108,-122.349821
514,1,47.973110,-122.346970
514,2,47.968800,-122.339073
514,3,47.959316,-122.315987
514,4,47.957478,-122.312721
514,5,47.954834,-122.309204
514,6,47.951443,-122.306374
514,7,47.948785,-122.304027
73,0,47.602990,-122.337955
73,1,47.619434,-122.492798
73,2,47.620590,-122.497002
73,3,47.622211,-122.500519
73,4,47.622383,-122.503098
73,5,47.621964,-122.504845
73,6,47.621735,-122.506882
73,7,47.621937,-122.508339
73,8,47.622139,-122.509224
73,9,47.623105,-122.511205
74,0,47.602990,-122.337955
74,1,47.602409,-122.339745
74,2,47.607731,-122.389122
74,3,47.607746,-122.395172
74,4,47.606731,-122.402122
74,5,47.605358,-122.406784
74,6,47.604389,-122.408348
74,7,47.600510,-122.416092
74,8,47.574867,-122.457779
74,9,47.571045,-122.464645
74,10,47.567455,-122.473656
74,11,47.562359,-122.489189
74,12,47.561028,-122.495369
74,13,47.561199,-122.500435
74,14,47.563747,-122.514511
74,15,47.569134,-122.531075
74,16,47.574173,-122.537514
74,17,47.582626,-122.541031
74,18,47.588879,-122.543610
74,19,47.593044,-122.546608
74,20,47.594437,-122.549530
74,21,47.594551,-122.551933
74,22,47.593510,-122.556564
74,23,47.588531,-122.566437
74,24,47.586040,-122.574593
74,25,47.583668,-122.579056
74,26,47.560448,-122.609528
74,27,47.558769,-122.615959
74,28,47.559635,-122.620338
74,29,47.563502,-122.626835
812,0,47.812403,-122.382076
812,1,47.814789,-122.389626
812,2,47.815136,-122.392632
812,3,47.814503,-122.396835
812,4,47.794903,-122.468422
812,5,47.793056,-122.476746
812,6,47.792480,-122.483269
812,7,47.792595,-122.489532
812,8,47.793633,-122.493050
812,9,47.796054,-122.496287
920,0,47.523214,-122.395526
920,1,47.523300,-122.397369
920,2,47.523026,-122.400742
920,3,47.518288,-122.449921
920,4,47.514282,-122.490585
920,5,47.513790,-122.494064
920,6,47.513065,-122.495903
920,7,47.511950,-122.497363
922,0,47.523214,-122.395526
922,1,47.523125,-122.396942
922,2,47.511616,-122.462479
922,3,47.511154,-122.463165
922,4,47.510174,-122.463921
